faostat,m49_code,country_name_en,item_code,item,year,yield_kg_ha,yield_kg_ha_flag,production_tonnes,production_tonnes_flag,area_harvested_ha,area_harvested_ha_flag
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1988,,,294.000000,A,300.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2009,,,121.640000,I,171.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1984,,,530.000000,E,600.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2020,,,6181.830000,E,13500.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2017,,,6311.980000,E,13766.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2018,,,6279.210000,E,13487.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1999,,,9000.000000,E,9000.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1972,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1967,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2004,,,8886.470000,I,10060.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2013,,,6000.000000,E,12000.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1985,,,1600.000000,E,1587.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2011,,,4846.950000,I,5565.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1966,,,400.000000,A,600.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1961,,,400.000000,A,500.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2013,,,5250.000000,E,5600.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2009,,,4602.530000,I,5408.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1985,,,2800.000000,E,3800.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1991,,,3400.000000,E,4400.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1986,,,2900.000000,E,3900.000000,E
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1978,,,3280.000000,A,3500.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2005,,,4002.790000,I,3979.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2006,,,3998.470000,I,3972.000000,I
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1998,,,23125.000000,A,18311.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1995,,,29149.000000,A,18153.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1967,,,21000.000000,E,16900.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1973,,,29700.000000,A,21200.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1969,,,22100.000000,E,17800.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1961,,,17000.000000,E,13500.000000,E
